Date,Open,High,Low,Close,Adj Close,Volume,Stock,putWidth,putPremium,putIV,dt
2020-08-18,252.1699981689453,254.77999877929688,251.33999633789062,252.5500030517578,251.3309783935547,1896100,AMT,10.0,0.0,0.0039162109375,
2020-08-19,253.22999572753906,253.5800018310547,244.86000061035156,245.22999572753906,244.0463104248047,1496500,AMT,10.0,0.0,0.0039162109375,
2020-08-20,245.0,248.9600067138672,243.38999938964844,247.67999267578125,246.48448181152344,1017400,AMT,10.0,0.0,0.0039162109375,
2020-08-21,249.69000244140625,249.97999572753906,245.44000244140625,249.33999633789062,248.136474609375,1139600,AMT,10.0,0.0,0.0039162109375,
2020-08-24,248.25,248.3800048828125,242.17999267578125,245.44000244140625,244.2552947998047,1201400,AMT,10.0,0.0,0.0039162109375,
2020-08-25,246.3000030517578,247.17999267578125,243.52000427246094,246.41000366210938,245.2206268310547,1060800,AMT,10.0,0.0,0.0039162109375,
2020-08-26,245.64999389648438,247.10000610351562,243.75,246.97000122070312,245.7779083251953,1479400,AMT,10.0,0.0,0.0039162109375,
2020-08-27,247.39999389648438,249.10000610351562,246.0399932861328,247.97000122070312,246.77308654785156,1398200,AMT,10.0,0.0,0.0039162109375,
2020-08-28,248.77000427246094,249.72999572753906,245.41000366210938,249.58999633789062,248.38526916503906,1062900,AMT,10.0,0.0,0.0039162109375,
2020-08-31,249.0,250.1199951171875,247.49000549316406,249.14999389648438,247.9473876953125,1307500,AMT,10.0,0.0,0.0039162109375,
2020-09-01,248.44000244140625,249.75,246.6300048828125,248.02999877929688,246.83279418945312,1085000,AMT,10.0,0.0,0.0039162109375,
2020-09-02,247.7100067138672,257.2900085449219,247.02999877929688,256.5,255.2619171142578,2034000,AMT,10.0,0.0,0.0039162109375,
2020-09-03,255.55999755859375,256.760009765625,249.24000549316406,252.32000732421875,251.1020965576172,2094600,AMT,10.0,0.0,0.0039162109375,
2020-09-04,251.3000030517578,256.2200012207031,246.8300018310547,249.97999572753906,248.77337646484375,1885100,AMT,10.0,0.0,0.0039162109375,
2020-09-08,248.72000122070312,249.6300048828125,243.10000610351562,246.80999755859375,245.61868286132812,1451200,AMT,10.0,0.0,0.0039162109375,
2020-09-09,250.6199951171875,255.2899932861328,249.4600067138672,252.4199981689453,251.20159912109375,2202100,AMT,10.0,0.0,0.0039162109375,
2020-09-10,251.9199981689453,251.9199981689453,247.5399932861328,248.3800048828125,247.1811065673828,1256800,AMT,10.0,0.0,0.0039162109375,
2020-09-11,249.77999877929688,252.55999755859375,248.22999572753906,249.7899932861328,248.58428955078125,1219400,AMT,10.0,0.0,0.0039162109375,
2020-09-14,251.11000061035156,255.69000244140625,250.92999267578125,253.89999389648438,252.67445373535156,1333900,AMT,10.0,0.0,0.0039162109375,
2020-09-15,255.61000061035156,265.2200012207031,255.57000732421875,263.75,262.4769287109375,2426700,AMT,10.0,0.0,0.0039162109375,
2020-09-16,265.0,268.6600036621094,262.79998779296875,263.2900085449219,262.0191345214844,2326100,AMT,10.0,0.0,0.0039162109375,
2020-09-17,259.6199951171875,260.3999938964844,248.94000244140625,250.72999572753906,249.51976013183594,2341500,AMT,10.0,0.0,0.0039162109375,
2020-09-18,248.6699981689453,251.25999450683594,243.80999755859375,245.5,244.31500244140625,3270500,AMT,10.0,0.0,0.0039162109375,
